Symbol,Ticker_NS,Base_Profit_Row,Base_Year,Sales_2025,Dividend_Payout_%,EPS_TTM,Operating_Profit_Base,Operating_Profit_2025,Tax_%,Interest,Market_Cap,Shares,Cost_of_Equity,CAGR,PE,PEG,Dividend_Yield,Dividend Yield,EV,EV_to_Capital_Employed,Inverse_Earning_Yield,Book_Value,Intrinsic_Value,Reverse Beta calculation,Current_Price,Beta from Money Control
COFORGE,COFORGE.NS,Operating Profit,2020,12051,63,29.99,725,1694,26,135,57935.04,33.45,13.93,0.18,59.85,3.24,0.13,1.777631643,58636.04,76.35,34.61,190.68,126.8,1.099554235,1794.8,1.42
HCLTECH,HCLTECH.NS,Operating Profit,2020,117055,94,62.56,17316,25504,25,644,397850.44,271.37,13.06,0.08,24.67,3.06,0.26,5.723579043,400141.44,141.19,15.69,256.68,1415.77,0.970282318,1543.5,1.14
INFY,INFY.NS,Operating Profit,2020,162990,67,67.71,22267,39236,29,416,614472.91,415.44,12.12,0.12,21.94,1.83,0.18,4.259695576,614472.91,296.42,15.66,230.64,2345.28,0.8306092125,1485.5,1.21
LTIM,LTIM.NS,Operating Profit,2020,38008,42,164.31,2029,6495,26,279,153869.95,29.64,15.21,0.26,34.72,1.33,0.09,1.613365114,153871.95,4808.5,23.69,765.78,319.07,1.2897474,5704.5,1.26
MPHASIS,MPHASIS.NS,Operating Profit,2020,14230,64,91.64,1650,2647,25,166,55037.98,19.03,15.68,0.1,30.38,3.06,0.17,3.197383267,56153.98,43,21.21,506.07,104.06,1.359583952,2784.2,1.51
OFSS,OFSS.NS,Operating Profit,2020,6847,97,273.17,2229,3076,28,0,73114.32,8.69,12.72,0.07,30.78,4.63,0.09,4.084108221,73114.32,1700.33,23.77,962.13,,0.9197622585,8407,1.49
PERSISTENT,PERSISTENT.NS,Operating Profit,2020,11939,39,107.03,493,2058,23,67,83939.88,15.64,15.95,0.33,55.41,1.68,0.05,0.8652573651,83939.88,1076.15,40.79,404.03,80.53,1.399702823,5931,
