Symbol,Ticker_NS,Base_Profit_Row,Base_Year,Sales_2025,Dividend_Payout_%,EPS_TTM,Operating_Profit_Base,Operating_Profit_2025,Tax_%,Interest,Market_Cap,Shares,Cost_of_Equity,CAGR,PE,PEG,Dividend_Yield,Dividend Yield,EV,EV_to_Capital_Employed,Inverse_Earning_Yield,Book_Value,Intrinsic_Value,Reverse Beta calculation,Current_Price,Beta from Money Control
PATANJALI,PATANJALI.NS,Operating Profit,2021,34157,28,11.22,,1956,25,95,65868,36.26,13.26,,51.53,,0.46,2.612513553,66649,78.13,34.07,313.56,,1,578.15,
RADICO,RADICO.NS,Operating Profit,2020,4843,15,29.8,372,674,26,74,38849.69,13.39,11.31,0.13,107.17,8.49,0.02,0.2364231824,39479.69,60.09,58.58,205.73,47.14,0.7102526003,3193.6,
TATACONSUM,TATACONSUM.NS,Operating Profit,2020,17618,64,13.37,1292,2479,22,290,109284.11,98.95,14.54,0.14,89.57,6.43,0.1,1.33895253,111133.11,57.05,44.83,202.13,163.51,1.190193165,1197.5,
UBL,UBL.NS,Operating Profit,2020,8915,60,17.09,876,841,27,13,48364.99,26.44,10.9,-0.01,105.93,Negative,0.11,1.054229692,48939.99,81.43,58.19,165.01,40.06,0.6493313522,1810.3,
UNITDSPR,UNITDSPR.NS,Operating Profit,2020,12069,55,20.82,1569,2236,26,89,97981.43,72.74,17.37,0.07,69.53,9.47,0.06,1.167918715,97981.43,675.73,43.82,111.42,97.16,1.610698366,1447.6,
VBL,VBL.NS,Operating Profit,2021,,not showing '25,8.5,,,,,170873.59,338.2,13.06,,55.85,,,#VALUE!,170873.59,,,,,0.970282318,474.75,
AARTIIND,AARTIIND.NS,Operating Profit,2020,7271,11,6.54,977,1000,-8,275,13974.62,36.26,0,0,59.43,127.4,0.06,0.7805598587,17763.62,4.47,17.76,154.6,,-0.970282318,388.65,
ATUL,ATUL.NS,Operating Profit,2020,5583,15,184.18,902,918,28,24,18857.44,2.94,14.4,0,32.07,91.03,0.05,0.7929693506,19055.44,83.94,20.76,1901.38,50.18,1.169390788,5906.5,
BAYERCROP,BAYERCROP.NS,Operating Profit,2021,,,,,,,,23262.03,4.49,12.32,,,,,0,23262.03,,,,,0.8603268945,4871.7,
CHAMBLFERT,CHAMBLFERT.NS,Operating Profit,2020,16646,24,43.68,1925,2501,33,48,22827.16,40.07,18.04,0.05,11.18,2.08,0.2,3.067742244,22909.16,47.43,9.16,217.84,87.29,1.7102526,488.3,
COROMANDEL,COROMANDEL.NS,Operating Profit,2020,24085,21,76.72,1737,2577,25,262,69445.07,29.49,10.3,0.08,27.95,3.4,0.08,0.8558421056,69677.07,266.96,27.04,375.93,290.21,0.5601783061,2144.2,
DEEPAKNTR,DEEPAKNTR.NS,Operating Profit,2020,8282,15,44.5,1035,1095,27,31,24036.55,13.64,18.24,0.01,39.02,34.43,0.05,0.6934916411,25207.55,21.04,23.02,395.03,89.3,1.739970282,1736.4,
EIDPARRY,EIDPARRY.NS,Operating Profit,2020,31609,Not paid in '25,58.15,1887,2633,28,372,19977.17,17.78,12.39,0.07,18.23,2.65,0,#VALUE!,22098.17,10.33,8.39,446.35,225.62,0.8707280832,1060.3,
FLUOROCHEM,FLUOROCHEM.NS,Operating Profit,2020,4737,6,56.63,439,1100,23,147,37194.11,10.98,10.64,0.2,65.84,3.26,0.01,0.1612243908,39182.11,19.6,35.62,660.26,152.58,0.6106983655,3728.3,
GNFC,GNFC.NS,Operating Profit,2020,7892,44,38.25,542,615,26,23,7626.22,14.69,17.03,0.03,13.24,5.17,0.47,3.637937069,7725.22,31.4,12.56,583.64,54.65,1.560178306,506.35,
HSCL,HSCL.NS,Operating Profit,2020,4613,5,13.28,280,854,31,45,22941.78,49.38,18.64,0.25,35.82,1.43,0.01,0.1817980784,23250.78,64.95,27.23,75.35,30.08,1.799405646,475.65,
LINDEINDIA,LINDEINDIA.NS,Operating Profit,2021,2485,22,52.57,,765,26,13,54907.53,8.53,13.6,,114.57,,0.01,0.3275836531,54907.53,645.97,71.77,447.94,,1.050520059,6023,
NAVINFLUOR,NAVINFLUOR.NS,Operating Profit,2020,2349,12,71.49,268,534,24,78,24806.79,5.12,12.65,0.15,82.61,5.59,0.01,0.2119316739,26246.79,18.1,49.15,512.66,91.51,0.9093610698,5905.5,
PCBL,PCBL.NS,Operating Profit,2020,8404,48,9.24,465,1337,25,461,14496.45,37.75,15.75,0.24,38.72,1.65,0.3,4.751331722,19876.45,3.67,14.87,97.97,120.65,1.369985141,357.8,
PIIND,PIIND.NS,Operating Profit,2020,7978,15,106.21,720,2206,22,56,57011.12,15.17,16.56,0.25,,,,#DIV/0!,57123.12,449.79,25.89,669.47,135.46,1.490341753,,
PIDILITIND,PIDILITIND.NS,Operating Profit,2020,13140,49,21.45,1576,3011,26,50,158297.82,50.87,13.73,0.14,68.09,4.93,0.09,1.985836718,158444.82,800.23,52.62,191.77,165.09,1.069836553,1460.5,
SRF,SRF.NS,Operating Profit,2020,14693,17,48.26,1455,2718,27,376,87415.68,29.64,12.65,0.13,61.5,4.62,0.03,0.5252204719,92056.68,18.64,33.87,425.94,278.41,0.9093610698,2968.1,
SOLARINDS,SOLARINDS.NS,Operating Profit,2020,7540,7,139.43,434,2026,26,116,129337.44,9.05,12.99,0.36,101.56,2.81,0,0.110661099,130277.44,135.99,64.3,484.69,259.82,0.9598811293,14161,
SUMICHEM,SUMICHEM.NS,Operating Profit,2020,3149,12,11.16,335,633,26,7,29477.05,49.91,9.36,0.14,45.51,3.35,0.01,0.299682877,29477.05,59.07,46.57,58.12,40.47,0.4205052006,507.85,
TATACHEM,TATACHEM.NS,Operating Profit,2020,14887,119,13.22,1945,1953,30,563,23927.06,25.48,16.83,0,66.21,806.24,0.79,10.42000782,30231.06,4.61,15.48,847.62,215.9,1.530460624,875.35,
UPL,UPL.NS,Operating Profit,2020,46637,53,14.13,6772,7128,1,3627,53713.48,75.06,14.27,0.01,51.71,50.2,0.45,6.888986484,77427.48,3.24,10.86,389.19,1076.65,1.150074294,730.6,
ASHOKLEY,ASHOKLEY.NS,Operating Profit,2020,42333,59,5.46,3233,3006,26,3930,76484.79,587.31,9.49,-0.01,25.61,,0.3,2.159599582,126185.79,2.52,41.98,20.83,486.83,0.4398216939,139.83,
BAJAJ-AUTO,BAJAJ-AUTO.NS,Operating Profit,2020,50995,80,271.9,5109,9555,28,389,254571.24,27.93,13.13,0.13,32.82,2.46,0.16,3.067348955,263935.24,27.37,27.62,1260.06,19.88,0.9806835067,8922.5,
BALKRISIND,BALKRISIND.NS,Operating Profit,2020,10447,19,75.17,1274,2458,24,129,45690.52,19.33,12.12,0.14,30.56,2.18,0.04,1.051868713,48952.52,14.83,19.92,537.36,261.28,0.8306092125,2296.9,
BHARATFORG,BHARATFORG.NS,Operating Profit,2020,15123,43,21.51,1072,2692,37,417,54291.74,47.81,14.67,0.2,62.33,3.08,0.1,1.805897755,60579.74,9.49,22.5,193.56,216.85,1.209509658,1340.7,
BOSCHLTD,BOSCHLTD.NS,Operating Profit,2020,18087,75,903.59,1483,2310,26,17,121218.86,2.95,9.69,0.09,40.98,4.42,0.12,1.586193479,121218.86,4040.63,52.48,4683.72,220.14,0.4695393759,37025,
EICHERMOT,EICHERMOT.NS,Operating Profit,2020,18870,41,176.48,2183,4723,20,54,174756.22,27.43,10.7,0.17,39.8,2.38,0.04,1.005130399,175022.22,597.35,37.06,776.44,421.49,0.6196136701,7023.5,
EXIDEIND,EXIDEIND.NS,Operating Profit,2020,17238,21,9.97,1457,1805,32,160,35623.5,85,13.8,0.04,38.45,8.78,0.11,1.163425976,37184.5,22.59,20.6,163.68,218.72,1.080237741,383.3,
